datetime,checkouts
2016-11-16,20015
2016-11-17,19097
2016-11-18,14455
2016-11-19,24266
2016-11-20,14113
2016-11-21,22625
2016-11-22,20317
2016-11-23,25335
2016-11-24,0
2016-11-25,12776
2016-11-26,19991
2016-11-27,14043
2016-11-28,20714
2016-11-29,18688
2016-11-30,18709
2016-12-01,18098
2016-12-02,14121
2016-12-03,22821
2016-12-04,13418
2016-12-05,19511
2016-12-06,17316
2016-12-07,17630
2016-12-08,17265
2016-12-09,10193
2016-12-10,19785
2016-12-11,12159
2016-12-12,20196
2016-12-13,16815
2016-12-14,16980
2016-12-15,15806
2016-12-16,12949
2016-12-17,20245
2016-12-18,11317
2016-12-19,19929
2016-12-20,18024
2016-12-21,17197
2016-12-22,18047
2016-12-23,16775
2016-12-24,0
2016-12-25,0
2016-12-26,18364
2016-12-27,20617
2016-12-28,19774
2016-12-29,18474
2016-12-30,15661
2016-12-31,17311
2017-01-02,19497
2017-01-03,21611
2017-01-04,19453
2017-01-05,19031
2017-01-06,15453
2017-01-07,23627
2017-01-08,13346
2017-01-09,22116
2017-01-10,18655
2017-01-11,18287
2017-01-12,18785
2017-01-13,14098
2017-01-14,20901
2017-01-15,14203
2017-01-16,0
2017-01-17,22309
2017-01-18,19284
2017-01-19,18492
2017-01-20,14019
2017-01-21,19118
2017-01-22,16725
2017-01-23,21594
2017-01-24,18742
2017-01-25,17355
2017-01-26,18016
2017-01-27,13762
2017-01-28,22175
2017-01-29,13596
2017-01-30,20162
2017-01-31,19146
2017-02-01,19622
2017-02-02,18108
2017-02-03,12814
2017-02-04,22688
2017-02-05,12606
2017-02-06,1795
2017-02-07,23975
2017-02-08,18715
2017-02-09,18030
2017-02-10,14289
2017-02-11,22902
2017-02-12,14992
2017-02-13,18730
2017-02-14,15996
2017-02-15,16308
2017-02-16,19001
2017-02-17,14272
2017-02-18,25710
2017-02-19,15001
2017-02-20,0
2017-02-21,27050
2017-02-22,20121
2017-02-23,19274
2017-02-24,15113
2017-02-25,22510
2017-02-26,15361
2017-02-27,17182
2017-02-28,19623
2017-03-01,18325
2017-03-02,18461
2017-03-03,14546
2017-03-04,23390
2017-03-05,14600
2017-03-06,20527
2017-03-07,18133
2017-03-08,19497
2017-03-09,17906
2017-03-10,14804
2017-03-11,24313
2017-03-12,14287
2017-03-13,19642
2017-03-14,18914
2017-03-15,18816
2017-03-16,18227
2017-03-17,13307
2017-03-18,22783
2017-03-19,12237
2017-03-20,19460
2017-03-21,18454
2017-03-22,18371
2017-03-23,17573
2017-03-24,14218
2017-03-25,21505
2017-03-26,14194
2017-03-27,20460
2017-03-28,18557
2017-03-29,4
2017-03-30,22711
2017-03-31,13387
2017-04-01,21612
2017-04-02,13894
2017-04-03,20172
2017-04-04,17393
2017-04-05,18515
2017-04-06,19441
2017-04-07,14973
2017-04-08,22953
2017-04-09,12665
2017-04-10,21382
2017-04-11,17838
2017-04-12,18111
2017-04-13,18342
2017-04-14,13039
2017-04-15,17491
2017-04-16,6999
2017-04-17,21115
2017-04-18,18402
2017-04-19,17860
2017-04-20,17421
2017-04-21,12064
2017-04-22,22567
2017-04-23,14505
2017-04-24,20055
2017-04-25,17444
2017-04-26,17390
2017-04-27,17550
2017-04-28,12386
2017-04-29,17379
2017-04-30,10297
2017-05-01,20530
2017-05-02,17993
2017-05-03,16192
2017-05-04,16233
2017-05-05,14424
2017-05-06,19732
2017-05-07,12448
2017-05-08,18631
2017-05-09,16272
2017-05-10,17151
2017-05-11,16985
2017-05-12,22963
2017-05-13,20884
2017-05-14,11426
2017-05-15,20275
2017-05-16,19262
2017-05-17,17337
2017-05-18,16999
2017-05-19,11545
2017-05-20,17759
2017-05-21,11100
2017-05-22,18502
2017-05-23,16871
2017-05-24,18712
2017-05-25,17707
2017-05-26,13042
2017-05-27,16189
2017-05-28,10017
2017-05-29,0
2017-05-30,25008
2017-05-31,18046
2017-06-01,17202
2017-06-02,12627
2017-06-03,19895
2017-06-04,12429
2017-06-05,36500
2017-06-06,16534
2017-06-07,17132
2017-06-08,19522
2017-06-09,14449
2017-06-10,20210
2017-06-11,11902
2017-06-12,21301
2017-06-13,36429
2017-06-14,33220
2017-06-15,17552
2017-06-16,12002
2017-06-17,16918
2017-06-18,11974
2017-06-19,20817
2017-06-20,19894
2017-06-21,17804
2017-06-22,16858
2017-06-23,12651
2017-06-24,18203
2017-06-25,10917
2017-06-26,22341
2017-06-27,21122
2017-06-28,19501
2017-06-29,19123
2017-06-30,13590
2017-07-01,20186
2017-07-02,11139
2017-07-03,22337
2017-07-04,0
2017-07-05,23051
2017-07-06,19625
2017-07-07,15152
2017-07-08,19743
2017-07-09,12745
2017-07-10,24629
2017-07-11,20631
2017-07-12,19619
2017-07-13,20283
2017-07-14,15089
2017-07-15,20448
2017-07-16,12580
2017-07-17,23055
2017-07-18,18670
2017-07-19,18621
2017-07-20,20066
2017-07-21,14262
2017-07-22,18372
2017-07-23,12432
2017-07-24,21241
2017-07-25,18188
2017-07-26,18485
2017-07-27,20270
2017-07-28,13838
2017-07-29,18451
2017-07-30,11607
2017-07-31,22004
2017-08-01,19115
2017-08-02,17938
2017-08-03,18139
2017-08-04,13837
2017-08-05,18344
2017-08-06,11701
2017-08-07,22667
2017-08-08,18669
2017-08-09,18397
2017-08-10,19606
2017-08-11,13919
2017-08-12,18676
2017-08-13,13792
2017-08-14,22406
2017-08-15,18682
2017-08-16,18953
2017-08-17,19869
2017-08-18,13837
2017-08-19,17620
2017-08-20,11662
2017-08-21,19435
2017-08-22,18013
2017-08-23,19008
2017-08-24,18802
2017-08-25,13205
2017-08-26,17792
2017-08-27,11488
2017-08-28,18995
2017-08-29,17804
2017-08-30,18279
2017-08-31,19198
2017-09-01,15020
2017-09-02,18161
2017-09-03,12417
2017-09-04,0
2017-09-05,27245
2017-09-06,18319
2017-09-07,19589
2017-09-08,13524
2017-09-09,22109
2017-09-10,12548
2017-09-11,20312
2017-09-12,18593
2017-09-13,19065
2017-09-14,17540
2017-09-15,12972
2017-09-16,20070
2017-09-17,12119
2017-09-18,19448
2017-09-19,18005
2017-09-20,18635
2017-09-21,18116
2017-09-22,13160
2017-09-23,19458
2017-09-24,12339
2017-09-25,19970
2017-09-26,17259
2017-09-27,16661
2017-09-28,15786
2017-09-29,13346
2017-09-30,21368
2017-10-01,13483
2017-10-02,19166
2017-10-03,17038
2017-10-04,17552
2017-10-05,17027
2017-10-06,13700
2017-10-07,20443
2017-10-08,12496
2017-10-09,18392
2017-10-10,17780
2017-10-11,18597
2017-10-12,17395
